# MultiGeometry integrator with 121 geometries on (4, 66) radial range (2th_deg) and (-180, 180) azimuthal range (deg)
# 
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
# --> LaB6_BM20_over3.dat
#       2th_deg             I 
  5.453189e+00    2.567633e+09
  5.457265e+00    2.564827e+09
  5.461341e+00    2.563782e+09
  5.465417e+00    2.563885e+09
  5.469494e+00    2.570616e+09
  5.473570e+00    2.569735e+09
  5.477646e+00    2.570123e+09
  5.481723e+00    2.570508e+09
  5.485799e+00    2.575122e+09
  5.489875e+00    2.578046e+09
  5.493951e+00    2.572517e+09
  5.498028e+00    2.566585e+09
  5.502104e+00    2.562653e+09
  5.506180e+00    2.565650e+09
  5.510256e+00    2.564284e+09
  5.514333e+00    2.559755e+09
  5.518409e+00    2.554232e+09
  5.522485e+00    2.552109e+09
  5.526561e+00    2.553844e+09
  5.530638e+00    2.559080e+09
  5.534714e+00    2.563035e+09
  5.538790e+00    2.562897e+09
  5.542867e+00    2.561541e+09
  5.546943e+00    2.562699e+09
  5.551019e+00    2.564422e+09
  5.555095e+00    2.561327e+09
  5.559172e+00    2.558596e+09
  5.563248e+00    2.556123e+09
  5.567324e+00    2.559416e+09
  5.571400e+00    2.559671e+09
  5.575477e+00    2.560301e+09
  5.579553e+00    2.560634e+09
  5.583629e+00    2.563260e+09
  5.587705e+00    2.563544e+09
  5.591782e+00    2.562287e+09
  5.595858e+00    2.556717e+09
  5.599934e+00    2.556781e+09
  5.604011e+00    2.555509e+09
  5.608087e+00    2.556603e+09
  5.612163e+00    2.557088e+09
  5.616239e+00    2.555899e+09
  5.620316e+00    2.550816e+09
  5.624392e+00    2.539924e+09
  5.628468e+00    2.536233e+09
  5.632544e+00    2.536980e+09
  5.636621e+00    2.538674e+09
  5.640697e+00    2.537994e+09
  5.644773e+00    2.527184e+09
  5.648849e+00    2.524712e+09
  5.652926e+00    2.523988e+09
  5.657002e+00    2.526899e+09
  5.661078e+00    2.523750e+09
  5.665155e+00    2.520666e+09
  5.669231e+00    2.517420e+09
  5.673307e+00    2.515161e+09
  5.677383e+00    2.513278e+09
  5.681460e+00    2.513181e+09
  5.685536e+00    2.515641e+09
  5.689612e+00    2.516241e+09
  5.693688e+00    2.509596e+09
  5.697765e+00    2.505348e+09
  5.701841e+00    2.501556e+09
  5.705917e+00    2.505976e+09
  5.709993e+00    2.505363e+09
  5.714070e+00    2.504719e+09
  5.718146e+00    2.506287e+09
  5.722222e+00    2.503388e+09
  5.726298e+00    2.499360e+09
  5.730375e+00    2.499065e+09
  5.734451e+00    2.506063e+09
  5.738527e+00    2.502009e+09
  5.742604e+00    2.495142e+09
  5.746680e+00    2.492204e+09
  5.750756e+00    2.494737e+09
  5.754832e+00    2.495165e+09
  5.758909e+00    2.489912e+09
  5.762985e+00    2.487915e+09
  5.767061e+00    2.484081e+09
  5.771137e+00    2.482398e+09
  5.775214e+00    2.478106e+09
  5.779290e+00    2.476771e+09
  5.783366e+00    2.483110e+09
  5.787442e+00    2.489990e+09
  5.791519e+00    2.489562e+09
  5.795595e+00    2.482262e+09
